Gene1        Gene2        Direction    Correlation  Distant?     Distance     
AHR          ARID5B       -1           0.77207      1            -1           
AHR          NHLH1        -1           -0.75318     1            -1           
AHR          TBX18        0            0.75937      1            -1           
AHR          TFEC         0            0.75066      1            98332592     
BHLHE41      PDX1         0            -0.78288     1            -1           
BHLHE41      NKX2-2       0            -0.77182     1            -1           
BHLHE41      ONECUT1      0            -0.76577     1            -1           
CREB1        FOXF2        1            -0.75625     1            -1           
CREB5        HAND2        1            0.75742      1            -1           
CREB5        E2F7         1            0.75753      1            -1           
EGR1         SP2          0            0.8895       1            -1           
EGR1         SREBF1       0            0.80217      1            -1           
EGR1         ZBTB7B       0            0.76484      1            -1           
EGR1         IRF7         0            0.80333      1            -1           
EGR1         SPI1         0            0.91983      1            -1           
EGR1         TRIM28       1            0.75001      1            -1           
EGR1         CTF1         1            0.80237      1            -1           
EGR1         GTF2I        1            0.89025      1            -1           
EGR1         HIC1         1            0.78376      1            -1           
EGR1         STAT3        0            0.88601      1            -1           
EGR1         CTCF         0            0.87804      1            -1           
EGR1         MXD3         0            0.83248      1            38938112     
EGR1         MXI1         0            0.76373      1            -1           
EGR1         ARNT         -1           0.8282       1            -1           
EGR1         NR1H3        0            0.84336      1            -1           
EGR1         RARA         0            0.86523      1            -1           
EGR1         RARG         1            0.82777      1            -1           
EGR1         THRA         0            0.84894      1            -1           
EGR1         NFATC3       0            0.79453      1            -1           
EGR1         FOSB         1            0.87616      1            -1           
EGR1         SMAD3        0            0.77797      1            -1           
EGR1         SMAD6        1            0.80323      1            -1           
EGR1         ATF7         0            0.92039      1            -1           
EGR1         RFX1         0            0.78138      1            -1           
EGR1         ZNF143       0            0.83998      1            -1           
EGR1         MAFF         0            0.77776      1            -1           
EGR1         MAFG         1            0.77892      1            -1           
EGR1         STAT5A       -1           0.90326      1            -1           
EGR1         STAT5B       0            0.80545      1            -1           
EGR1         ELK4         0            0.86677      1            -1           
EGR1         ERF          0            0.80925      1            -1           
EGR1         RFX5         0            0.80593      1            -1           
EGR1         RFXANK       0            0.76523      1            -1           
EGR1         CBFB         0            0.86436      1            -1           
EGR1         DEAF1        0            0.81366      1            -1           
EGR1         GTF2IRD1     0            0.92744      1            -1           
EGR1         SOX10        0            0.84843      1            -1           
EGR1         SOX15        0            0.78378      1            -1           
EGR1         XBP1         0            0.75214      1            -1           
EGR1         TP53         0            0.82215      1            -1           
EGR1         ZNF589       -1           0.84106      1            -1           
