Gene1        Gene2        Direction    Correlation  Distant?     Distance     
AHR          WT1          -1           -0.75616     1            -1           
AHR          NR2F1        -1           -0.93525     1            -1           
AHR          NR3C1        -1           0.88904      1            -1           
AHR          CNOT3        -1           -0.81244     1            -1           
AHR          ARID5B       -1           0.91986      1            -1           
AHR          HOXB9        -1           -0.75562     1            -1           
AHR          MYCN         -1           -0.90704     1            -1           
AHR          MYOD1        -1           -0.91744     1            -1           
AHR          NHLH1        -1           -0.77618     1            -1           
AHR          ZIC2         -1           -0.79999     1            -1           
AHR          NR1H2        -1           -0.97648     1            -1           
AHR          MEIS1        -1           -0.79199     1            -1           
AHR          ARNTL2       -1           0.83373      1            -1           
AHR          ARX          -1           -0.78432     1            -1           
AHR          ATF2         -1           -0.75097     1            -1           
AHR          GFI1         -1           -0.85017     1            -1           
AHR          T            -1           -0.89313     1            -1           
AHR          GLI3         -1           0.76907      1            24938343     
AHR          HOXB8        -1           -0.7716      1            -1           
AHR          POU2F1       -1           -0.80275     1            -1           
AHR          BACH1        -1           0.90082      1            -1           
AHR          BACH2        -1           -0.89956     1            -1           
AHR          FOXP1        -1           0.87883      1            -1           
AHR          HOXB1        -1           -0.93783     1            -1           
AHR          HOXB7        -1           -0.78292     1            -1           
AHR          GABPB1       -1           -0.79143     1            -1           
AHR          BARX2        -1           -0.80546     1            -1           
AHR          ELF1         -1           -0.75088     1            -1           
AHR          RFX4         -1           -0.78735     1            -1           
AHR          SOX4         -1           -0.85783     1            -1           
AHR          HOXB3        -1           -0.93475     1            -1           
AHR          SPIB         -1           -0.94209     1            -1           
AHR          HOXA5        -1           -0.80408     1            9845012      
AHR          TP63         0            0.90002      1            -1           
AHR          HOXA11       -1           -0.76754     1            9886560      
AHR          TBX18        -1           0.77828      1            -1           
AHR          EN1          -1           -0.76508     1            -1           
AHR          EN2          -1           -0.78111     1            137912548    
AHR          HOXB6        -1           -0.83329     1            -1           
AHR          LMX1B        -1           -0.83559     1            -1           
AHR          NKX3-2       -1           -0.81813     1            -1           
AHR          HOXA10       -1           -0.77775     1            9875680      
AHR          HOXA9        -1           -0.78782     1            9866874      
AHR          HOXA1        -1           -0.80883     1            9797350      
AHR          HOXA3        -1           -0.80607     1            9828364      
AHR          HOXA4        -1           -0.80564     1            9832124      
AHR          HOXA7        -1           -0.79774     1            9858021      
AHR          HOXB4        -1           -0.90446     1            -1           
AHR          HOXB5        -1           -0.85873     1            -1           
AHR          ZBTB16       -1           -0.88756     1            -1           
AHR          OTP          -1           -0.80779     1            -1           
AHR          RB1          -1           -0.82355     1            -1           
AHR          VAX1         -1           -0.79759     1            -1           
AHR          HOXA2        -1           -0.80741     1            9804119      
AHR          VAX2         -1           -0.9551      1            -1           
AHR          TFEC         -1           0.99824      1            98332592     
BHLHE41      KLF11        -1           0.88159      1            -1           
BHLHE41      KLF4         1            0.88679      1            -1           
BHLHE41      ZFP42        0            -0.92743     1            -1           
BHLHE41      NKX2-1       0            -0.94768     1            -1           
BHLHE41      TFAP2A       0            -0.78227     1            -1           
BHLHE41      TFAP2B       0            -0.76052     1            -1           
BHLHE41      CNOT3        -1           -0.81619     1            -1           
BHLHE41      PAX2         -1           0.7605       1            -1           
BHLHE41      FOXG1        1            -0.8499      1            -1           
BHLHE41      FOXO1        0            -0.86044     1            -1           
BHLHE41      ARID5B       1            0.75898      1            -1           
BHLHE41      BHLHE40      0            0.86825      1            -1           
BHLHE41      MAD1L1       -1           0.96996      1            -1           
BHLHE41      MXD4         -1           0.82099      1            -1           
BHLHE41      NR1H4        0            -0.95188     1            74589547     
BHLHE41      PBX1         0            -0.80688     1            -1           
BHLHE41      PDX1         0            -0.93267     1            -1           
BHLHE41      RXRA         -1           0.80873      1            -1           
BHLHE41      TAL2         0            -0.75805     1            -1           
BHLHE41      TFE3         0            -0.8694      1            -1           
BHLHE41      ZEB1         0            0.91147      1            -1           
BHLHE41      ZIC2         -1           -0.92335     1            -1           
BHLHE41      PPARA        -1           0.91926      1            -1           
BHLHE41      ATOH1        0            -0.97416     1            -1           
BHLHE41      NEUROD1      1            0.8911       1            -1           
BHLHE41      NR1I2        0            0.78186      1            -1           
BHLHE41      PITX2        0            -0.76157     1            -1           
BHLHE41      ARX          0            -0.92561     1            -1           
BHLHE41      EPAS1        0            0.8902       1            -1           
BHLHE41      OTX2         0            -0.9103      1            -1           
BHLHE41      SOX2         0            -0.90894     1            -1           
BHLHE41      ATF2         -1           -0.8201      1            -1           
BHLHE41      GFI1         0            -0.8553      1            -1           
BHLHE41      FOSL2        -1           0.85805      1            -1           
BHLHE41      EBF1         1            0.96894      1            -1           
BHLHE41      SMAD4        0            -0.97843     1            -1           
BHLHE41      SMAD5        0            0.7748       1            -1           
BHLHE41      TFDP2        -1           -0.79107     1            -1           
BHLHE41      FOXA1        0            -0.85593     1            -1           
BHLHE41      GLI3         1            0.97539      1            -1           
BHLHE41      ZNF350       0            -0.84193     1            -1           
BHLHE41      HNF4G        1            -0.86728     1            -1           
BHLHE41      BACH1        1            0.87506      1            -1           
BHLHE41      BACH2        -1           -0.83319     1            -1           
BHLHE41      MAF          1            0.83141      1            -1           
BHLHE41      MAFB         1            0.7956       1            -1           
BHLHE41      NKX2-2       0            -0.95297     1            -1           
BHLHE41      BARHL2       0            -0.94202     1            -1           
BHLHE41      HOXB1        -1           -0.84952     1            -1           
BHLHE41      ESR2         -1           -0.75149     1            -1           
BHLHE41      CDX2         0            -0.90323     1            -1           
BHLHE41      FOXL1        0            0.88069      1            -1           
BHLHE41      HMGA2        -1           0.82105      1            39940236     
BHLHE41      PRRX1        1            0.90333      1            -1           
BHLHE41      MEF2A        -1           0.95356      1            -1           
BHLHE41      ELF1         0            -0.94078     1            -1           
BHLHE41      ERG          0            0.95724      1            -1           
BHLHE41      ETS2         0            0.88794      1            -1           
BHLHE41      ETV7         -1           0.85622      1            -1           
BHLHE41      POU4F1       1            -0.95728     1            -1           
BHLHE41      RFX2         -1           0.75725      1            -1           
BHLHE41      RFX3         1            -0.96733     1            -1           
BHLHE41      RUNX1        1            0.9294       1            -1           
BHLHE41      CDC5L        -1           -0.7603      1            -1           
BHLHE41      SOX4         -1           -0.93594     1            -1           
BHLHE41      HOXB3        -1           -0.83568     1            -1           
BHLHE41      TBX5         0            -0.93813     1            88568244     
BHLHE41      PAX8         0            0.7529       1            -1           
BHLHE41      TFCP2L1      -1           0.9336       1            -1           
BHLHE41      CLOCK        0            -0.86547     1            -1           
BHLHE41      TLX2         -1           -0.87636     1            -1           
BHLHE41      DLX5         0            -0.87433     1            -1           
BHLHE41      MECP2        0            -0.88635     1            -1           
BHLHE41      HES1         -1           0.78594      1            -1           
BHLHE41      HOXA5        0            -0.76842     1            -1           
BHLHE41      OTX1         0            -0.96096     1            -1           
BHLHE41      DMRT1        0            -0.88053     1            -1           
BHLHE41      LHX8         1            -0.75372     1            -1           
BHLHE41      TBX18        1            0.85608      1            -1           
BHLHE41      ELF4         0            -0.85317     1            -1           
BHLHE41      ELK3         0            0.86782      1            70310203     
BHLHE41      EN1          0            -0.90642     1            -1           
BHLHE41      GATA3        0            -0.83248     1            -1           
BHLHE41      GATA6        1            0.78058      1            -1           
BHLHE41      ONECUT1      0            -0.79679     1            -1           
BHLHE41      ZIC3         0            -0.94489     1            -1           
BHLHE41      FOXF1        0            0.84035      1            -1           
BHLHE41      GTF2A1       0            -0.77029     1            -1           
BHLHE41      NKX6-2       0            0.81287      1            -1           
BHLHE41      MEF2C        0            -0.93717     1            -1           
BHLHE41      FOXO4        0            -0.87106     1            -1           
BHLHE41      NKX3-2       0            -0.87987     1            -1           
BHLHE41      GBX2         -1           -0.85088     1            -1           
BHLHE41      HBP1         1            -0.9308      1            -1           
BHLHE41      HOXA3        0            -0.76129     1            -1           
BHLHE41      HOXA4        0            -0.76972     1            -1           
BHLHE41      HOXA7        0            -0.7589      1            -1           
BHLHE41      HOXD13       0            -0.83691     1            -1           
BHLHE41      HOXD3        0            -0.76772     1            -1           
BHLHE41      HOXD9        0            -0.83372     1            -1           
BHLHE41      ISL1         1            -0.93921     1            -1           
BHLHE41      MSX1         -1           0.77112      1            -1           
BHLHE41      KLF12        1            -0.92844     1            -1           
BHLHE41      NFIL3        1            0.85741      1            -1           
BHLHE41      NR4A2        0            -0.79439     1            -1           
BHLHE41      OTP          0            -0.77546     1            -1           
BHLHE41      SATB1        1            -0.82419     1            -1           
BHLHE41      RORB         1            -0.77939     1            -1           
BHLHE41      HOXA2        0            -0.75646     1            -1           
BHLHE41      VAX2         -1           -0.83484     1            -1           
BHLHE41      ZIC1         0            -0.97402     1            -1           
CREB1        IRF8         0            -0.92645     1            -1           
CREB1        REST         1            0.94203      1            -1           
CREB1        NFKB1        1            0.75636      1            -1           
