Gene1        Gene2        Direction    Correlation  Distant?     Distance     
AHR          EGR1         -1           -0.78817     1            -1           
AHR          SP2          -1           -0.85912     1            -1           
AHR          SREBF1       -1           -0.76464     1            -1           
AHR          ARID5B       -1           0.80213      1            -1           
AHR          MXI1         -1           -0.76321     1            -1           
AHR          TFE3         -1           -0.7713      1            -1           
AHR          TFEB         -1           -0.79156     1            -1           
AHR          USF1         -1           -0.85815     1            -1           
AHR          ARNT         -1           -0.81512     1            -1           
AHR          IKZF1        0            0.83908      1            33006102     
AHR          MZF1         -1           -0.8039      1            -1           
AHR          RORA         -1           -0.78875     1            -1           
AHR          TGIF1        -1           -0.82938     1            -1           
AHR          RREB1        -1           0.7797       1            -1           
AHR          RARA         -1           -0.76453     1            -1           
AHR          NFATC3       -1           -0.87979     1            -1           
AHR          FOS          -1           -0.82558     1            -1           
AHR          MAF          -1           0.76048      1            -1           
AHR          FOXL1        -1           0.78898      1            -1           
AHR          STAT5B       -1           -0.75369     1            -1           
AHR          ERF          -1           -0.81781     1            -1           
AHR          BRCA1        -1           -0.82737     1            -1           
AHR          RFXANK       -1           -0.81638     1            -1           
AHR          CBFB         -1           -0.86174     1            -1           
AHR          GTF2IRD1     -1           -0.76003     1            56529844     
AHR          SOX15        -1           -0.80484     1            -1           
AHR          ZNF589       -1           -0.76541     1            -1           
AHR          CLOCK        -1           -0.78194     1            -1           
AHR          GLI1         -1           -0.7857      1            -1           
AHR          ELF3         -1           -0.79519     1            -1           
AHR          ELF4         -1           -0.77961     1            -1           
AHR          ETV4         -1           -0.80181     1            -1           
AHR          MEF2D        -1           -0.8519      1            -1           
AHR          MEOX1        -1           -0.83452     1            -1           
BHLHE41      RAX          -1           0.82833      1            -1           
BHLHE41      IRF2         0            -0.7545      1            -1           
BHLHE41      NFKB1        0            -0.95422     1            -1           
BHLHE41      PDX1         -1           -0.86192     1            -1           
BHLHE41      TCF4         0            -0.75366     1            -1           
BHLHE41      CEBPA        -1           -0.87334     1            -1           
BHLHE41      RARB         0            0.76017      1            -1           
BHLHE41      TBP          0            -0.82406     1            -1           
BHLHE41      FOXP1        0            -0.81437     1            -1           
BHLHE41      CDX2         -1           -0.76086     1            -1           
BHLHE41      GCM1         -1           -0.79929     1            -1           
BHLHE41      GCM2         -1           -0.85744     1            -1           
BHLHE41      SOX5         1            0.78589      0            2175366      
BHLHE41      HIVEP2       -1           -0.76706     1            -1           
BHLHE41      ONECUT1      -1           -0.75858     1            -1           
BHLHE41      HBP1         0            -0.76571     1            -1           
CREB1        EGR1         0            0.75378      1            -1           
CREB1        PATZ1        1            0.96795      1            -1           
CREB1        SREBF1       0            0.97564      1            -1           
CREB1        ZNF219       1            0.78029      1            -1           
CREB1        PITX1        0            0.84084      1            -1           
CREB1        IRF7         0            0.8332       1            -1           
CREB1        PAX2         -1           0.89779      1            -1           
CREB1        VDR          1            0.79016      1            -1           
CREB1        STAT3        -1           0.85349      1            -1           
CREB1        ZNF263       0            0.75018      1            -1           
CREB1        CTCF         0            0.85264      1            -1           
CREB1        ARID5B       1            -0.78143     1            -1           
CREB1        HAND1        0            0.78703      1            -1           
CREB1        SREBF2       -1           0.79368      1            -1           
CREB1        TFE3         1            0.87864      1            -1           
CREB1        USF1         1            0.7617       1            -1           
CREB1        NEUROD1      1            -0.77501     1            25849223     
CREB1        TGIF1        1            0.77971      1            -1           
CREB1        CEBPB        -1           0.75761      1            -1           
CREB1        THRA         0            0.75161      1            -1           
CREB1        NFATC3       -1           0.8699       1            -1           
CREB1        ATF3         -1           0.79843      1            -1           
CREB1        FOS          0            0.90882      1            -1           
CREB1        JUNB         1            0.75763      1            -1           
CREB1        ATF4         0            0.94355      1            -1           
CREB1        E2F4         0            0.81619      1            -1           
CREB1        SMAD9        1            0.77443      1            -1           
CREB1        NRF1         -1           0.75513      1            -1           
CREB1        BACH2        1            0.76902      1            -1           
CREB1        ZNF628       1            0.86954      1            -1           
CREB1        HOXB1        0            0.80956      1            -1           
CREB1        STAT5B       -1           0.83921      1            -1           
CREB1        ELK4         0            0.88761      1            -1           
CREB1        ERF          0            0.82331      1            -1           
CREB1        NR6A1        0            0.78722      1            -1           
CREB1        DMBX1        -1           0.7791       1            -1           
CREB1        RFXAP        1            0.77583      1            -1           
CREB1        DEAF1        0            0.80534      1            -1           
CREB1        RUNX3        -1           0.94374      1            -1           
CREB1        CDC5L        -1           0.7792       1            -1           
CREB1        GTF2IRD1     0            0.77643      1            -1           
CREB1        XBP1         1            0.86226      1            -1           
CREB1        HOXB3        -1           0.80814      1            -1           
CREB1        TP53         0            0.81821      1            -1           
CREB1        ZNF589       -1           0.77978      1            -1           
CREB1        RELA         0            0.78128      1            -1           
CREB1        STAT2        0            0.81146      1            -1           
CREB1        STAT6        1            0.9141       1            -1           
CREB1        MECP2        1            0.90474      1            -1           
CREB1        DBP          1            0.89537      1            -1           
CREB1        NR2E3        1            0.86744      1            -1           
CREB1        PPARD        0            0.8225       1            -1           
CREB1        GATA2        0            0.76841      1            -1           
CREB1        CDX1         1            0.88338      1            -1           
CREB1        FOXF2        1            -0.76108     1            -1           
CREB1        FOXJ1        0            0.78147      1            -1           
CREB1        FOXO4        1            0.86833      1            -1           
CREB1        HINFP        0            0.77648      1            -1           
CREB1        HOXB4        0            0.80456      1            -1           
CREB1        HOXC5        1            0.78822      1            -1           
CREB1        MEOX1        -1           0.82381      1            -1           
CREB1        HOXC4        1            0.8707       1            -1           
CREB1        ITGB2        0            0.75528      1            -1           
CREB5        HAND2        1            0.8858       1            -1           
CREB5        TFF3         -1           -0.77307     1            -1           
CREB5        RORA         -1           0.86492      1            -1           
CREB5        ARNTL2       1            0.80037      1            -1           
CREB5        OTX2         -1           0.76681      1            -1           
CREB5        E2F8         -1           -0.8093      1            -1           
CREB5        FLI1         1            0.84113      1            -1           
CREB5        SMAD1        1            0.77394      1            -1           
CREB5        FOXM1        -1           0.77631      1            -1           
CREB5        GLI3         1            0.82853      1            13824475     
CREB5        ATF6         0            -0.90893     1            -1           
CREB5        MAF          0            -0.8335      1            -1           
CREB5        ERG          1            -0.81141     1            -1           
CREB5        POU3F1       0            0.78949      1            -1           
CREB5        CBFB         -1           0.75971      1            -1           
CREB5        SOX3         1            0.7965       1            -1           
CREB5        OTX1         1            0.87489      1            -1           
CREB5        EHF          -1           -0.78108     1            -1           
CREB5        ONECUT2      -1           -0.83113     1            -1           
CREB5        ZIC3         1            0.75398      1            -1           
CREB5        LMX1B        -1           0.8122       1            -1           
