Gene1        Gene2        Direction    Correlation  Distant?     Distance     
AHR          BHLHE41      -1           0.78016      1            -1           
AHR          EGR2         0            0.90697      1            -1           
AHR          WT1          -1           0.82228      1            -1           
AHR          ZNF219       -1           -0.91081     1            -1           
AHR          GATA1        -1           -0.80197     1            -1           
AHR          IRF8         -1           0.82496      1            -1           
AHR          TFAP2A       -1           -0.89084     1            -1           
AHR          TFAP2C       -1           -0.7833      1            -1           
AHR          NFIX         -1           -0.77812     1            -1           
AHR          ARID5B       -1           0.78928      1            -1           
AHR          MITF         0            0.89517      1            -1           
AHR          MYCN         -1           -0.83317     1            -1           
AHR          MYOD1        -1           -0.79529     1            -1           
AHR          NHLH1        -1           -0.91889     1            -1           
AHR          NR1H4        -1           -0.79037     1            -1           
AHR          TFE3         -1           -0.83379     1            -1           
AHR          USF1         -1           -0.80806     1            -1           
AHR          USF2         -1           -0.85556     1            -1           
AHR          ZEB1         -1           0.99229      1            -1           
AHR          GSX2         -1           0.75822      1            -1           
AHR          NR1I3        -1           -0.9131      1            -1           
AHR          PITX2        -1           0.86256      1            -1           
AHR          GLIS3        -1           0.86436      1            -1           
AHR          RORA         -1           -0.85148     1            -1           
AHR          CEBPA        -1           -0.94646     1            -1           
AHR          CEBPG        -1           -0.8129      1            -1           
AHR          MTF1         -1           -0.92052     1            -1           
AHR          NFATC4       -1           -0.76656     1            -1           
AHR          SMAD2        -1           -0.9564      1            -1           
AHR          SMAD4        -1           -0.85847     1            -1           
AHR          SMAD7        -1           -0.84265     1            -1           
AHR          TFDP2        -1           -0.79701     1            -1           
AHR          FOXM1        -1           -0.84967     1            -1           
AHR          POU2F1       -1           -0.80138     1            -1           
AHR          FOXL1        -1           0.89663      1            -1           
AHR          PRRX1        0            0.92151      1            -1           
AHR          TEF          -1           -0.82336     1            -1           
AHR          MEF2A        -1           0.92823      1            -1           
AHR          ERG          0            0.79468      1            -1           
AHR          ETS2         -1           0.79378      1            -1           
AHR          NANOG        -1           -0.78713     1            -1           
AHR          POU3F1       -1           -0.88496     1            -1           
AHR          DMBX1        -1           -0.75111     1            -1           
AHR          IRF9         -1           -0.76791     1            -1           
AHR          RUNX2        -1           0.75891      1            -1           
AHR          SOX12        -1           -0.84874     1            -1           
AHR          SOX5         1            0.79782      1            -1           
AHR          SOX6         -1           0.90674      1            -1           
AHR          SOX8         -1           0.77967      1            -1           
AHR          SOX9         -1           0.81433      1            -1           
AHR          XBP1         -1           -0.75997     1            -1           
AHR          TFCP2L1      -1           0.82951      1            -1           
AHR          ZBTB33       -1           -0.83301     1            -1           
AHR          NR2C2        -1           -0.75586     1            -1           
AHR          MECP2        -1           -0.76483     1            -1           
AHR          HNF1B        -1           -0.76986     1            -1           
AHR          TBX18        0            0.9683       1            -1           
AHR          ELK3         -1           0.78439      1            -1           
AHR          LHX4         -1           -0.80831     1            -1           
AHR          MNX1         -1           -0.9051      1            139465072    
AHR          EN1          -1           -0.82918     1            -1           
AHR          ONECUT2      -1           -0.91003     1            -1           
AHR          FOXF1        -1           0.87803      1            -1           
AHR          SIX4         -1           -0.77365     1            -1           
AHR          LHX5         -1           -0.87723     1            -1           
AHR          GBX2         -1           -0.7624      1            -1           
AHR          IRX4         -1           -0.89482     1            -1           
AHR          SIX1         -1           -0.81067     1            -1           
AHR          TFEC         1            0.81273      1            98332592     
BHLHE41      CREB1        -1           -0.76082     1            -1           
BHLHE41      KLF11        -1           0.91495      1            -1           
BHLHE41      SP4          1            -0.89572     1            -1           
BHLHE41      WT1          1            0.7845       1            -1           
BHLHE41      ZNF219       -1           -0.76583     1            -1           
BHLHE41      IRF8         -1           0.7895       1            -1           
BHLHE41      NKX2-1       1            -0.9667      1            -1           
BHLHE41      NR2F1        1            -0.80469     1            -1           
BHLHE41      PRDM1        0            -0.88689     1            -1           
BHLHE41      TFAP2A       -1           -0.8137      1            -1           
BHLHE41      TFAP2B       1            -0.88489     1            -1           
BHLHE41      TFAP2C       0            -0.76075     1            -1           
BHLHE41      CNOT3        0            -0.89364     1            -1           
BHLHE41      NFIX         -1           -0.79425     1            -1           
BHLHE41      FOXG1        1            -0.9144      1            -1           
BHLHE41      KLF15        1            -0.80554     1            -1           
BHLHE41      ARID5B       1            0.94243      1            -1           
BHLHE41      LMO2         -1           0.81779      1            -1           
BHLHE41      MXD3         -1           -0.88244     1            -1           
BHLHE41      MYOD1        0            -0.91199     1            -1           
BHLHE41      NHLH1        -1           -0.87809     1            -1           
BHLHE41      NR1H4        1            -0.80739     1            74589547     
BHLHE41      PDX1         0            -0.76445     1            -1           
BHLHE41      RXRA         -1           0.81116      1            -1           
BHLHE41      TFF3         1            0.82074      1            -1           
BHLHE41      USF2         -1           -0.76653     1            -1           
BHLHE41      ZEB1         1            0.79387      1            -1           
BHLHE41      ZIC2         0            -0.82262     1            -1           
BHLHE41      NEUROD1      1            0.86805      1            -1           
BHLHE41      NR1H2        -1           -0.88191     1            -1           
BHLHE41      NR1I3        -1           -0.80984     1            -1           
BHLHE41      GLIS3        1            0.78385      1            -1           
BHLHE41      NFYC         -1           -0.80807     1            -1           
BHLHE41      RORA         -1           -0.88168     1            -1           
BHLHE41      ARX          0            -0.85548     1            -1           
BHLHE41      CEBPD        0            -0.75762     1            -1           
BHLHE41      EPAS1        -1           0.94319      1            -1           
BHLHE41      OTX2         0            -0.90954     1            -1           
BHLHE41      SOX2         1            -0.90521     1            -1           
BHLHE41      PAX4         0            -0.89756     1            -1           
BHLHE41      RARB         1            0.76952      1            -1           
BHLHE41      MTF1         -1           -0.91747     1            -1           
BHLHE41      FOSL2        -1           0.79122      1            -1           
BHLHE41      SMAD2        0            -0.76474     1            -1           
BHLHE41      SMAD4        -1           -0.84902     1            -1           
BHLHE41      SMAD5        -1           0.93055      1            -1           
BHLHE41      TFDP1        -1           -0.8841      1            -1           
BHLHE41      TFDP2        -1           -0.8242      1            -1           
BHLHE41      FOXA1        1            -0.95446     1            -1           
BHLHE41      FOXA2        1            -0.90226     1            -1           
BHLHE41      ZNF350       1            -0.82357     1            -1           
BHLHE41      BCL6         -1           0.79104      1            -1           
BHLHE41      POU2F1       0            -0.78175     1            -1           
BHLHE41      POU3F2       1            -0.89002     1            -1           
BHLHE41      BACH1        1            0.82784      1            -1           
BHLHE41      NKX2-2       1            -0.96545     1            -1           
BHLHE41      BARHL2       0            -0.80729     1            -1           
BHLHE41      PAX6         1            -0.77654     1            -1           
BHLHE41      CDX2         0            -0.76451     1            -1           
BHLHE41      FOXL1        0            0.79388      1            -1           
BHLHE41      ERG          1            0.8968       1            -1           
BHLHE41      ETS2         1            0.8343       1            -1           
BHLHE41      ETV7         -1           0.91469      1            -1           
BHLHE41      POU3F1       -1           -0.84558     1            -1           
BHLHE41      POU3F3       1            -0.91707     1            -1           
BHLHE41      POU4F1       1            -0.94569     1            -1           
BHLHE41      DMBX1        -1           -0.76932     1            -1           
BHLHE41      RUNX1        1            0.87638      1            -1           
BHLHE41      GCM2         -1           -0.81164     1            -1           
BHLHE41      SOX3         1            -0.93052     1            -1           
BHLHE41      SOX6         1            0.82048      1            -1           
BHLHE41      SOX8         -1           0.92328      1            -1           
BHLHE41      SOX9         1            0.9629       1            -1           
BHLHE41      EOMES        0            -0.91317     1            -1           
BHLHE41      PAX8         1            0.89129      1            -1           
BHLHE41      SPIB         -1           -0.87641     1            -1           
BHLHE41      TLX2         -1           -0.8062      1            -1           
BHLHE41      DLX5         1            -0.88566     1            -1           
BHLHE41      HES1         -1           0.92676      1            -1           
BHLHE41      HOMEZ        -1           -0.77513     1            -1           
BHLHE41      LHX8         1            -0.78524     1            -1           
BHLHE41      TBX18        1            0.7792       1            -1           
BHLHE41      MNX1         0            -0.93128     1            -1           
BHLHE41      EN2          0            -0.87681     1            -1           
BHLHE41      GATA6        0            0.79638      1            -1           
BHLHE41      ONECUT1      0            -0.82168     1            -1           
BHLHE41      ONECUT2      0            -0.8044      1            -1           
BHLHE41      ZIC3         0            -0.96477     1            -1           
BHLHE41      FOXD3        0            -0.79768     1            -1           
BHLHE41      FOXF1        0            0.75409      1            -1           
BHLHE41      FOXJ2        -1           -0.79288     1            18092645     
BHLHE41      SIX4         0            -0.94521     1            -1           
BHLHE41      NKX6-2       0            0.87004      1            -1           
BHLHE41      LHX5         -1           -0.95517     1            87631874     
BHLHE41      ISX          -1           0.76904      1            -1           
BHLHE41      FOXJ3        -1           0.931        1            -1           
BHLHE41      MEF2C        1            -0.89131     1            -1           
BHLHE41      NKX3-2       1            -0.89317     1            -1           
BHLHE41      GZF1         1            -0.79296     1            -1           
BHLHE41      POU3F4       1            -0.81588     1            -1           
BHLHE41      NR4A2        1            -0.90493     1            -1           
BHLHE41      PAX7         0            -0.75057     1            -1           
BHLHE41      SATB1        1            -0.89722     1            -1           
BHLHE41      VAX1         1            -0.87941     1            -1           
BHLHE41      RORB         1            -0.83555     1            -1           
BHLHE41      SIX1         0            -0.9649      1            -1           
BHLHE41      SIX2         0            -0.89228     1            -1           
BHLHE41      SIX3         0            -0.88957     1            -1           
BHLHE41      SIX6         1            -0.92386     1            -1           
BHLHE41      VAX2         -1           -0.85173     1            -1           
BHLHE41      ZIC1         1            -0.89671     1            -1           
BHLHE41      TFEC         1            0.86993      1            -1           
CREB1        SP2          -1           0.85957      1            -1           
CREB1        SREBF1       -1           0.87348      1            -1           
CREB1        WT1          1            -0.84877     1            -1           
CREB1        ZFP42        1            0.75086      1            -1           
CREB1        RAX          0            -0.76588     1            -1           
CREB1        ALX1         1            -0.81596     1            -1           
CREB1        SPI1         -1           0.76629      1            -1           
CREB1        TFAP2A       0            0.78588      1            -1           
CREB1        TFAP2B       1            0.76632      1            -1           
CREB1        TFAP2C       1            0.75602      1            -1           
CREB1        TRIM28       -1           0.85976      1            -1           
CREB1        CNOT3        0            0.81232      1            -1           
CREB1        CTF1         -1           0.86994      1            -1           
