number of genes: 16598
number of nodes: 537
Overlap: 486
10, 5, -2.0 - C: 110, E: 51, O: 325
10, 5, -1.0 - C: 120, E: 51, O: 315
10, 5, 0.0 - C: 128, E: 54, O: 304
10, 5, 1.0 - C: 136, E: 51, O: 299
10, 5, 2.0 - C: 146, E: 53, O: 287
10, 6, -2.0 - C: 110, E: 51, O: 325
10, 6, -1.0 - C: 120, E: 51, O: 315
10, 6, 0.0 - C: 128, E: 54, O: 304
10, 6, 1.0 - C: 136, E: 51, O: 299
10, 6, 2.0 - C: 146, E: 53, O: 287
10, 7, -2.0 - C: 109, E: 51, O: 326
10, 7, -1.0 - C: 120, E: 51, O: 315
10, 7, 0.0 - C: 128, E: 54, O: 304
10, 7, 1.0 - C: 136, E: 51, O: 299
10, 7, 2.0 - C: 146, E: 53, O: 287
10, 8, -2.0 - C: 105, E: 51, O: 330
10, 8, -1.0 - C: 116, E: 51, O: 319
10, 8, 0.0 - C: 127, E: 54, O: 305
10, 8, 1.0 - C: 136, E: 51, O: 299
10, 8, 2.0 - C: 146, E: 53, O: 287
10, 9, -2.0 - C: 105, E: 51, O: 330
10, 9, -1.0 - C: 116, E: 51, O: 319
10, 9, 0.0 - C: 127, E: 54, O: 305
10, 9, 1.0 - C: 136, E: 51, O: 299
10, 9, 2.0 - C: 146, E: 53, O: 287
10, 10, -2.0 - C: 101, E: 50, O: 335
10, 10, -1.0 - C: 112, E: 51, O: 323
10, 10, 0.0 - C: 123, E: 54, O: 309
10, 10, 1.0 - C: 134, E: 50, O: 302
10, 10, 2.0 - C: 144, E: 52, O: 290
20, 5, -2.0 - C: 110, E: 34, O: 342
20, 5, -1.0 - C: 120, E: 33, O: 333
20, 5, 0.0 - C: 128, E: 34, O: 324
20, 5, 1.0 - C: 136, E: 32, O: 318
20, 5, 2.0 - C: 146, E: 34, O: 306
20, 6, -2.0 - C: 110, E: 34, O: 342
20, 6, -1.0 - C: 120, E: 33, O: 333
20, 6, 0.0 - C: 128, E: 34, O: 324
20, 6, 1.0 - C: 136, E: 32, O: 318
20, 6, 2.0 - C: 146, E: 34, O: 306
20, 7, -2.0 - C: 109, E: 34, O: 343
20, 7, -1.0 - C: 120, E: 33, O: 333
20, 7, 0.0 - C: 128, E: 34, O: 324
20, 7, 1.0 - C: 136, E: 32, O: 318
20, 7, 2.0 - C: 146, E: 34, O: 306
20, 8, -2.0 - C: 105, E: 34, O: 347
20, 8, -1.0 - C: 116, E: 33, O: 337
20, 8, 0.0 - C: 127, E: 34, O: 325
20, 8, 1.0 - C: 136, E: 32, O: 318
20, 8, 2.0 - C: 146, E: 34, O: 306
20, 9, -2.0 - C: 105, E: 34, O: 347
20, 9, -1.0 - C: 116, E: 33, O: 337
20, 9, 0.0 - C: 127, E: 34, O: 325
20, 9, 1.0 - C: 136, E: 32, O: 318
20, 9, 2.0 - C: 146, E: 34, O: 306
20, 10, -2.0 - C: 101, E: 34, O: 351
20, 10, -1.0 - C: 112, E: 33, O: 341
20, 10, 0.0 - C: 123, E: 34, O: 329
20, 10, 1.0 - C: 134, E: 32, O: 320
20, 10, 2.0 - C: 144, E: 34, O: 308
30, 5, -2.0 - C: 110, E: 25, O: 351
30, 5, -1.0 - C: 120, E: 23, O: 343
30, 5, 0.0 - C: 128, E: 25, O: 333
30, 5, 1.0 - C: 136, E: 20, O: 330
30, 5, 2.0 - C: 146, E: 22, O: 318
30, 6, -2.0 - C: 110, E: 25, O: 351
30, 6, -1.0 - C: 120, E: 23, O: 343
30, 6, 0.0 - C: 128, E: 25, O: 333
30, 6, 1.0 - C: 136, E: 20, O: 330
30, 6, 2.0 - C: 146, E: 22, O: 318
30, 7, -2.0 - C: 109, E: 25, O: 352
30, 7, -1.0 - C: 120, E: 23, O: 343
30, 7, 0.0 - C: 128, E: 25, O: 333
30, 7, 1.0 - C: 136, E: 20, O: 330
30, 7, 2.0 - C: 146, E: 22, O: 318
30, 8, -2.0 - C: 105, E: 25, O: 356
30, 8, -1.0 - C: 116, E: 23, O: 347
30, 8, 0.0 - C: 127, E: 25, O: 334
30, 8, 1.0 - C: 136, E: 20, O: 330
30, 8, 2.0 - C: 146, E: 22, O: 318
30, 9, -2.0 - C: 105, E: 25, O: 356
30, 9, -1.0 - C: 116, E: 23, O: 347
30, 9, 0.0 - C: 127, E: 25, O: 334
30, 9, 1.0 - C: 136, E: 20, O: 330
30, 9, 2.0 - C: 146, E: 22, O: 318
30, 10, -2.0 - C: 101, E: 25, O: 360
30, 10, -1.0 - C: 112, E: 23, O: 351
30, 10, 0.0 - C: 123, E: 25, O: 338
30, 10, 1.0 - C: 134, E: 20, O: 332
30, 10, 2.0 - C: 144, E: 22, O: 320
40, 5, -2.0 - C: 110, E: 18, O: 358
40, 5, -1.0 - C: 120, E: 19, O: 347
40, 5, 0.0 - C: 128, E: 20, O: 338
40, 5, 1.0 - C: 136, E: 14, O: 336
40, 5, 2.0 - C: 146, E: 16, O: 324
40, 6, -2.0 - C: 110, E: 18, O: 358
40, 6, -1.0 - C: 120, E: 19, O: 347
40, 6, 0.0 - C: 128, E: 20, O: 338
40, 6, 1.0 - C: 136, E: 14, O: 336
40, 6, 2.0 - C: 146, E: 16, O: 324
40, 7, -2.0 - C: 109, E: 18, O: 359
40, 7, -1.0 - C: 120, E: 19, O: 347
40, 7, 0.0 - C: 128, E: 20, O: 338
40, 7, 1.0 - C: 136, E: 14, O: 336
40, 7, 2.0 - C: 146, E: 16, O: 324
