ectoderm            mesoderm            endoderm            
0.053333            0.586667            0.000000            
0.000000            0.000000            1.000000            
0.320000            0.000000            0.120000            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.400000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.800000            
0.000000            0.000000            0.666667            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.833333            
0.866667            0.000000            0.000000            
1.000000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.133333            
0.000000            0.833333            0.000000            
0.000000            0.240000            0.240000            
0.000000            0.346667            0.000000            
0.055556            0.416667            0.016667            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.146667            
0.233333            0.000000            0.000000            
0.127111            0.078222            0.184889            
0.013889            0.347222            0.069444            
0.000000            0.000000            0.133333            
0.000000            1.000000            0.000000            
0.400000            0.000000            0.000000            
0.120000            0.120000            0.180000            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.400000            
0.333333            0.000000            0.000000            
0.200000            0.000000            0.000000            
0.266667            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.146667            
0.000000            0.000000            1.000000            
0.000000            0.200000            0.000000            
0.000000            0.320000            0.000000            
0.000000            0.000000            0.333333            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.100000            
0.000000            0.866667            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.000000            1.000000            
0.000000            0.026667            0.693333            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.600000            
0.000000            1.000000            0.000000            
0.000000            0.200000            0.000000            
0.000000            1.000000            0.000000            
0.166667            0.000000            0.000000            
0.000000            0.000000            0.166667            
1.000000            0.000000            0.000000            
0.000000            0.800000            0.000000            
0.000000            0.000000            0.666667            
0.057778            0.000000            0.124444            
0.000000            0.720000            0.020000            
0.000000            0.000000            0.733333            
0.000000            0.000000            0.200000            
0.733333            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.055556            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.500000            
0.833333            0.000000            0.000000            
0.000000            0.000000            0.066667            
0.000000            0.000000            0.100000            
0.000000            0.000000            0.635556            
0.233333            0.000000            0.000000            
0.000000            0.000000            0.966667            
0.288000            0.108000            0.008000            
0.160000            0.240000            0.060000            
0.000000            0.000000            0.466667            
0.000000            0.000000            0.966667            
0.000000            0.000000            0.133333            
0.000000            0.000000            0.200000            
0.000000            0.244444            0.000000            
0.000000            0.000000            0.600000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.266667            
0.000000            0.600000            0.000000            
0.007778            0.544444            0.046667            
0.000000            0.000000            0.400000            
0.000000            0.400000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.933333            
0.283556            0.014667            0.154667            
0.000000            0.000000            0.166667            
0.010000            0.090000            0.360000            
0.800000            0.000000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.166667            0.000000            
0.000000            1.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.266667            
1.000000            0.000000            0.000000            
0.000000            0.533333            0.000000            
0.320000            0.120000            0.000000            
0.000000            0.000000            0.800000            
0.186667            0.000000            0.000000            
0.050000            0.450000            0.000000            
0.000000            0.200000            0.000000            
0.026667            0.193333            0.000000            
0.000000            0.160000            0.160000            
0.193333            0.010000            0.290000            
0.000000            0.833333            0.000000            
0.186667            0.053333            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.400000            0.133333            
0.000000            0.000000            0.400000            
0.000000            0.000000            0.800000            
0.120000            0.020000            0.360000            
0.000000            0.586667            0.000000            
0.035556            0.115556            0.346667            
0.000000            0.000000            0.100000            
0.000000            0.000000            0.300000            
0.140000            0.000000            0.000000            
0.020000            0.080000            0.080000            
0.000000            0.000000            0.133333            
0.169481            0.169481            0.071704            
0.000000            0.000000            0.200000            
0.800000            0.000000            0.000000            
0.000000            0.000000            1.000000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.333333            
0.333333            0.000000            0.000000            
0.000000            0.600000            0.000000            
0.000000            0.300000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.600000            0.000000            
0.000000            1.000000            0.000000            
0.600000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.240000            0.000000            0.000000            
0.000000            0.000000            0.166667            
0.080000            0.480000            0.000000            
0.000000            0.000000            0.600000            
0.000000            0.800000            0.000000            
0.200000            0.000000            0.000000            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.133333            
0.027778            0.000000            0.000000            
0.000000            0.000000            0.600000            
0.144444            0.000000            0.000000            
0.000000            0.360000            0.160000            
0.032000            0.032000            0.032000            
0.000000            0.066667            0.000000            
0.000000            0.000000            0.400000            
0.133333            0.400000            0.000000            
0.000000            0.186667            0.320000            
0.000000            0.500000            0.000000            
0.000000            0.000000            0.200000            
0.520000            0.000000            0.000000            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.400000            
0.000000            0.311111            0.177778            
0.000000            0.000000            0.100000            
0.014815            0.481481            0.048148            
1.000000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.373333            0.000000            0.000000            
0.000000            0.733333            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.088889            0.488889            
0.066667            0.000000            0.500000            
0.133333            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.800000            0.000000            
0.029630            0.040741            0.407407            
0.000000            0.300000            0.200000            
0.000000            0.000000            0.200000            
0.000000            0.150000            0.083333            
0.000000            0.000000            1.000000            
0.288889            0.000000            0.000000            
0.000000            0.040000            0.640000            
0.000000            0.000000            0.080000            
0.000000            0.388889            0.088889            
0.300000            0.000000            0.000000            
0.000000            1.000000            0.000000            
0.072000            0.432000            0.012000            
0.000000            0.000000            1.000000            
0.080000            0.480000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.166667            0.133333            
0.000000            0.300000            0.000000            
1.000000            0.000000            0.000000            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.800000            
0.000000            0.000000            0.746667            
0.000000            0.000000            0.133333            
0.900000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.533333            
0.000000            0.000000            1.000000            
0.480000            0.080000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.900000            0.000000            
0.074074            0.185185            0.018519            
0.210000            0.140000            0.060000            
0.000000            0.000000            0.400000            
0.000000            0.000000            0.120000            
0.000000            0.533333            0.000000            
0.000000            0.320000            0.120000            
1.000000            0.000000            0.000000            
0.175000            0.075000            0.175000            
0.000000            0.000000            0.500000            
0.000000            0.000000            0.266667            
0.160000            0.213333            0.080000            
0.000000            0.666667            0.000000            
0.000000            1.000000            0.000000            
0.000000            1.000000            0.000000            
0.000000            0.800000            0.000000            
0.000000            0.000000            0.466667            
0.195556            0.195556            0.000000            
0.000000            0.166667            0.000000            
0.116667            0.000000            0.000000            
0.000000            0.000000            0.400000            
0.586667            0.000000            0.053333            
0.000000            0.600000            0.000000            
0.000000            0.400000            0.100000            
0.111111            0.000000            0.000000            
0.000000            0.000000            0.166667            
0.000000            1.000000            0.000000            
0.072000            0.192000            0.192000            
0.000000            0.600000            0.000000            
0.000000            0.333333            0.000000            
0.000000            0.055556            0.000000            
0.000000            0.700000            0.000000            
0.103704            0.003704            0.259259            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.266667            
0.000000            0.000000            0.133333            
0.000000            0.000000            0.866667            
0.000000            0.000000            0.400000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.400000            
0.000000            0.660000            0.000000            
0.200000            0.000000            0.000000            
1.000000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.018519            0.046296            0.046296            
1.000000            0.000000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.100000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.480000            
0.000000            0.000000            0.400000            
0.000000            0.000000            1.000000            
0.000000            0.866667            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.400000            0.000000            
0.000000            0.066667            0.433333            
0.000000            0.000000            0.266667            
0.693333            0.000000            0.026667            
0.000000            0.000000            0.300000            
0.160000            0.000000            0.160000            
0.293333            0.000000            0.000000            
0.000000            0.066667            0.500000            
0.000000            0.166667            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.146667            0.213333            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.800000            
0.000000            0.800000            0.000000            
0.000000            0.000000            0.400000            
0.000000            0.000000            0.166667            
0.600000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.138889            0.138889            0.000000            
0.000000            0.666667            0.000000            
0.000000            0.866667            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.500000            0.000000            
0.000000            0.000000            0.350000            
0.000000            0.100000            0.333333            
0.244444            0.133333            0.073333            
0.000000            0.000000            0.100000            
0.000000            0.000000            0.400000            
0.000000            0.166667            0.000000            
0.000000            0.400000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.266667            
0.640000            0.040000            0.000000            
0.000000            0.000000            0.160000            
1.000000            0.000000            0.000000            
0.000000            0.600000            0.000000            
0.320000            0.120000            0.000000            
0.000000            0.400000            0.100000            
0.666667            0.000000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.040000            0.640000            
0.160000            0.000000            0.360000            
0.173333            0.106667            0.000000            
0.000000            0.033333            0.666667            
0.000000            0.000000            0.146667            
0.240000            0.000000            0.240000            
0.111111            0.111111            0.005556            
0.266667            0.200000            0.000000            
0.026667            0.026667            0.533333            
0.000000            0.320000            0.000000            
0.000000            0.000000            0.333333            
0.000000            0.400000            0.133333            
0.055556            0.000000            0.000000            
0.000000            1.000000            0.000000            
0.320000            0.120000            0.000000            
0.400000            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.600000            0.000000            
0.000000            0.420000            0.000000            
0.000000            0.166667            0.000000            
0.000000            0.540000            0.040000            
0.130370            0.228148            0.041481            
0.800000            0.000000            0.000000            
0.000000            0.333333            0.000000            
0.000000            0.000000            0.500000            
0.000000            0.000000            0.800000            
0.053333            0.320000            0.106667            
0.000000            0.000000            0.100000            
0.000000            0.866667            0.000000            
0.000000            1.000000            0.000000            
0.320000            0.053333            0.106667            
0.020000            0.360000            0.120000            
0.000000            0.000000            0.200000            
0.266667            0.200000            0.000000            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.800000            
0.000000            0.000000            0.055556            
0.000000            0.480000            0.080000            
0.000000            0.000000            0.111111            
0.000000            0.040000            0.540000            
0.120000            0.240000            0.053333            
0.000000            0.500000            0.066667            
0.028000            0.048000            0.448000            
0.000000            0.400000            0.000000            
0.000000            0.111111            0.000000            
0.000000            0.100000            0.000000            
0.000000            0.120000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.240000            0.240000            
0.320000            0.000000            0.120000            
0.480000            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.288889            0.000000            
0.000000            0.080000            0.346667            
1.000000            0.000000            0.000000            
0.016000            0.096000            0.256000            
0.060148            0.060148            0.029037            
0.320000            0.000000            0.000000            
0.000000            0.866667            0.000000            
0.000000            0.000000            0.100000            
0.000000            0.200000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.600000            0.000000            
0.000000            0.000000            0.800000            
0.080000            0.213333            0.026667            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.133333            
0.000000            0.666667            0.000000            
0.000000            0.346667            0.080000            
0.000000            0.800000            0.000000            
0.000000            0.250000            0.000000            
0.000000            0.800000            0.000000            
0.466667            0.000000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.800000            
0.555556            0.000000            0.055556            
0.000000            0.000000            0.400000            
0.000000            0.000000            0.200000            
0.000000            0.266667            0.000000            
0.000000            0.000000            0.066667            
0.200000            0.266667            0.000000            
0.000000            0.000000            0.100000            
0.138889            0.138889            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.400000            0.000000            0.000000            
0.866667            0.000000            0.000000            
0.166667            0.000000            0.000000            
0.000000            0.000000            0.100000            
0.133333            0.366667            0.000000            
0.080000            0.000000            0.480000            
0.160000            0.080000            0.213333            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.400000            
0.096000            0.016000            0.096000            
0.500000            0.000000            0.000000            
0.000000            0.000000            0.500000            
0.333333            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.500000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.400000            
0.000000            0.000000            0.733333            
0.000000            0.000000            0.266667            
0.000000            0.000000            0.266667            
0.111111            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.066667            0.000000            0.500000            
0.600000            0.000000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.133333            
0.000000            0.000000            0.200000            
0.037333            0.010667            0.597333            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.577778            
0.000000            0.000000            0.200000            
0.160000            0.160000            0.000000            
0.080000            0.120000            0.120000            
0.266667            0.133333            0.000000            
0.106667            0.146667            0.195556            
0.000000            0.266667            0.200000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.866667            
0.000000            0.200000            0.300000            
0.000000            0.600000            0.000000            
0.000000            0.333333            0.000000            
0.000000            0.000000            1.000000            
0.022222            0.622222            0.000000            
0.000000            0.026667            0.193333            
0.000000            0.000000            0.333333            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.100000            
0.000000            0.000000            1.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.800000            
0.064000            0.064000            0.024000            
0.000000            0.280000            0.180000            
