ectoderm            mesoderm            endoderm            
0.000000            0.000000            0.520000            
0.000000            0.040000            0.000000            
0.000000            0.040000            0.000000            
0.600000            0.000000            0.000000            
0.000000            0.000000            0.600000            
1.000000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.480000            0.000000            0.000000            
0.000000            0.000000            0.133333            
0.266667            0.000000            0.000000            
0.000000            0.320000            0.120000            
0.000000            0.184000            0.064000            
0.000000            0.000000            0.200000            
0.200000            0.000000            0.000000            
0.032000            0.552000            0.000000            
0.066667            0.000000            0.000000            
0.428267            0.000000            0.014933            
0.000000            0.000000            1.000000            
0.120000            0.000000            0.320000            
0.000000            0.000000            0.040000            
0.400000            0.000000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.160000            0.000000            
0.000000            0.480000            0.000000            
0.000000            0.000000            0.026667            
0.000000            0.000000            1.000000            
0.000000            0.080000            0.000000            
0.000000            0.000000            0.240000            
0.000000            0.211200            0.091200            
0.000000            0.000000            0.200000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.400000            
0.000000            0.160000            0.000000            
0.000000            0.160000            0.000000            
0.096000            0.416000            0.000000            
0.000000            0.040000            0.000000            
0.000000            0.000000            0.800000            
0.180000            0.280000            0.000000            
0.064000            0.000000            0.184000            
0.320000            0.000000            0.000000            
0.000000            0.600000            0.000000            
0.000000            0.000000            0.100000            
0.368000            0.048000            0.000000            
0.000000            0.000000            0.200000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.040000            
0.000000            0.160000            0.000000            
0.000000            0.000000            0.040000            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.160000            
0.000000            0.000000            0.040000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.880000            
0.106667            0.000000            0.000000            
0.000000            0.312000            0.085333            
0.000000            0.000000            0.120000            
0.176000            0.000000            0.336000            
0.000000            0.060000            0.360000            
0.000000            0.000000            0.120000            
0.000000            0.000000            0.080000            
0.410667            0.000000            0.037333            
0.000000            0.000000            0.320000            
0.000000            0.360000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.133333            0.140000            
0.000000            0.133333            0.166667            
0.000000            0.000000            0.280000            
0.080000            0.000000            0.000000            
0.000000            0.000000            0.960000            
0.000000            0.000000            0.766667            
0.000000            0.000000            0.200000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.293333            
0.000000            0.000000            0.300000            
0.000000            0.000000            0.066667            
0.084821            0.463488            0.010155            
0.000000            0.640000            0.000000            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.160000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.600000            
0.000000            1.000000            0.000000            
0.000000            0.240000            0.000000            
0.466667            0.022222            0.062222            
0.000000            0.108000            0.088000            
0.000000            0.200000            0.000000            
0.080000            0.000000            0.000000            
0.000000            0.000000            0.880000            
0.000000            0.000000            0.080000            
0.360000            0.060000            0.000000            
0.000000            0.512000            0.072000            
0.500000            0.000000            0.000000            
0.588800            0.028800            0.000000            
0.000000            0.000000            0.200000            
0.106667            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.480000            0.000000            0.000000            
0.560000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.000000            0.112000            0.432000            
0.000000            0.000000            0.200000            
0.000000            0.048000            0.368000            
0.000000            0.000000            0.066667            
0.000000            0.000000            0.066667            
0.000000            0.400000            0.000000            
0.000000            0.400000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.040000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.480000            
0.000000            0.000000            0.880000            
0.089600            0.369600            0.000000            
0.000000            0.080000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.080000            
0.400000            0.000000            0.000000            
0.920000            0.000000            0.000000            
0.000000            0.000000            0.800000            
0.000000            0.000000            0.013333            
0.066667            0.000000            0.000000            
0.480000            0.000000            0.000000            
0.537600            0.000000            0.017600            
0.000000            0.144000            0.224000            
0.277333            0.090667            0.000000            
0.000000            0.200000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.160000            0.000000            
0.053333            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.033333            0.000000            
0.000000            0.000000            0.133333            
0.000000            0.000000            0.100000            
0.714400            0.000000            0.014400            
0.200000            0.000000            0.000000            
0.096000            0.016000            0.256000            
0.000000            0.000000            0.040000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.640000            
0.266667            0.000000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.066667            
0.213333            0.017778            0.004444            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.000000            0.400000            
0.000000            0.200000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.000000            0.080000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.200000            0.000000            
0.000000            0.333333            0.000000            
0.000000            0.080000            0.000000            
0.000000            0.120000            0.000000            
0.000000            0.240000            0.000000            
0.000000            0.160000            0.000000            
1.000000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.320000            0.000000            0.000000            
0.000000            0.600000            0.000000            
0.400000            0.000000            0.000000            
0.440000            0.000000            0.000000            
0.000000            0.000000            0.400000            
0.000000            0.000000            1.000000            
0.000000            1.000000            0.000000            
0.000000            0.312000            0.192000            
0.520000            0.000000            0.000000            
0.000000            0.320000            0.000000            
0.000000            0.066667            0.000000            
0.000000            0.000000            0.020000            
0.266667            0.000000            0.000000            
0.107520            0.107520            0.141120            
0.000000            0.000000            0.080000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.320000            
0.000000            0.080000            0.000000            
0.000000            0.081067            0.214400            
0.000000            1.000000            0.000000            
0.000000            0.057600            0.577600            
0.000000            0.000000            0.026667            
0.240000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.240000            0.000000            0.000000            
0.208000            0.101333            0.000000            
0.000000            0.089333            0.096000            
0.800000            0.000000            0.000000            
0.000000            0.160000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.164089            0.044089            
0.000000            0.000000            0.080000            
0.000000            0.000000            0.200000            
0.000000            0.268800            0.228800            
0.960000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.320000            0.000000            
0.576000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.520000            0.000000            
0.608000            0.048000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.440000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.096000            0.336000            
0.000000            0.128000            0.000000            
0.000000            0.432000            0.052000            
0.000000            0.000000            0.400000            
0.320000            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.064000            0.184000            
0.161280            0.127680            0.097280            
0.197120            0.197120            0.062720            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.400000            
0.000000            0.080000            0.000000            
0.190400            0.230400            0.000000            
0.000000            0.000000            0.466667            
0.000000            0.000000            0.720000            
0.240000            0.000000            0.240000            
0.000000            0.600000            0.000000            
0.000000            0.066667            0.000000            
0.000000            0.000000            0.400000            
0.384000            0.104000            0.000000            
0.000000            0.000000            0.320000            
0.000000            0.000000            0.500000            
0.268800            0.000000            0.028800            
0.000000            0.268800            0.000000            
0.000000            0.000000            0.360000            
0.062222            0.062222            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.200000            
0.000000            0.640000            0.000000            
0.000000            0.000000            0.240000            
0.064000            0.184000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.800000            0.000000            
0.000000            0.232000            0.025333            
0.160000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.470400            0.000000            0.010400            
0.000000            0.120000            0.000000            
0.069632            0.205632            0.172032            
0.840000            0.000000            0.000000            
0.000000            0.600000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.320000            0.120000            
1.000000            0.000000            0.000000            
0.000000            0.640000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.106667            
0.000000            0.800000            0.000000            
0.000000            0.000000            0.160000            
0.400000            0.000000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.053333            
0.000000            0.000000            0.120000            
0.333333            0.000000            0.100000            
0.600000            0.000000            0.000000            
0.211200            0.067200            0.035200            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.266667            
0.000000            0.000000            0.600000            
0.242667            0.000000            0.096000            
0.000000            0.000000            0.033333            
0.211200            0.291200            0.000000            
0.000000            0.000000            0.120000            
0.000000            0.000000            0.400000            
0.000000            0.166667            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.133333            
0.000000            0.000000            0.366667            
0.000000            0.893333            0.000000            
0.000000            0.026667            0.000000            
0.133333            0.000000            0.000000            
0.000000            0.000000            0.066667            
0.000000            0.032000            0.672000            
0.000000            0.320000            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.480000            
0.000000            0.000000            0.320000            
0.080000            0.000000            0.000000            
0.240000            0.240000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.000000            0.026667            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.840000            
0.240000            0.240000            0.000000            
0.000000            0.400000            0.000000            
0.101689            0.101689            0.090133            
0.000000            0.080000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.120000            
0.960000            0.000000            0.000000            
0.240000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.030667            0.077333            
0.000000            0.224000            0.264000            
0.000000            0.160000            0.000000            
0.000000            0.480000            0.000000            
0.200000            0.000000            0.000000            
0.448000            0.000000            0.088000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.500000            
0.000000            0.200000            0.000000            
