number of genes: 16598
number of nodes: 533
Overlap: 482
10, 5, -2.0 - C: 55, E: 54, O: 373
10, 5, -1.0 - C: 59, E: 54, O: 369
10, 5, 0.0 - C: 67, E: 53, O: 362
10, 5, 1.0 - C: 73, E: 49, O: 360
10, 5, 2.0 - C: 80, E: 51, O: 351
10, 6, -2.0 - C: 53, E: 54, O: 375
10, 6, -1.0 - C: 58, E: 54, O: 370
10, 6, 0.0 - C: 65, E: 53, O: 364
10, 6, 1.0 - C: 71, E: 49, O: 362
10, 6, 2.0 - C: 78, E: 51, O: 353
10, 7, -2.0 - C: 48, E: 53, O: 381
10, 7, -1.0 - C: 54, E: 53, O: 375
10, 7, 0.0 - C: 61, E: 53, O: 368
10, 7, 1.0 - C: 68, E: 49, O: 365
10, 7, 2.0 - C: 76, E: 51, O: 355
10, 8, -2.0 - C: 47, E: 52, O: 383
10, 8, -1.0 - C: 52, E: 52, O: 378
10, 8, 0.0 - C: 58, E: 52, O: 372
10, 8, 1.0 - C: 65, E: 48, O: 369
10, 8, 2.0 - C: 73, E: 50, O: 359
10, 9, -2.0 - C: 47, E: 50, O: 385
10, 9, -1.0 - C: 50, E: 51, O: 381
10, 9, 0.0 - C: 56, E: 52, O: 374
10, 9, 1.0 - C: 63, E: 48, O: 371
10, 9, 2.0 - C: 70, E: 50, O: 362
10, 10, -2.0 - C: 45, E: 48, O: 389
10, 10, -1.0 - C: 48, E: 50, O: 384
10, 10, 0.0 - C: 54, E: 51, O: 377
10, 10, 1.0 - C: 62, E: 47, O: 373
10, 10, 2.0 - C: 68, E: 48, O: 366
20, 5, -2.0 - C: 55, E: 54, O: 373
20, 5, -1.0 - C: 59, E: 54, O: 369
20, 5, 0.0 - C: 67, E: 53, O: 362
20, 5, 1.0 - C: 73, E: 49, O: 360
20, 5, 2.0 - C: 80, E: 51, O: 351
20, 6, -2.0 - C: 53, E: 54, O: 375
20, 6, -1.0 - C: 58, E: 54, O: 370
20, 6, 0.0 - C: 65, E: 53, O: 364
20, 6, 1.0 - C: 71, E: 49, O: 362
20, 6, 2.0 - C: 78, E: 51, O: 353
