number of genes: 16598
number of nodes: 533
Overlap: 482
10, 5, -2.0 - C: 47, E: 26, O: 409
10, 5, -1.0 - C: 52, E: 30, O: 400
10, 5, 0.0 - C: 61, E: 31, O: 390
10, 5, 1.0 - C: 62, E: 30, O: 390
10, 5, 2.0 - C: 68, E: 34, O: 380
10, 6, -2.0 - C: 46, E: 26, O: 410
10, 6, -1.0 - C: 50, E: 30, O: 402
10, 6, 0.0 - C: 59, E: 31, O: 392
10, 6, 1.0 - C: 60, E: 30, O: 392
10, 6, 2.0 - C: 66, E: 34, O: 382
10, 7, -2.0 - C: 44, E: 25, O: 413
10, 7, -1.0 - C: 49, E: 29, O: 404
10, 7, 0.0 - C: 59, E: 29, O: 394
10, 7, 1.0 - C: 60, E: 28, O: 394
10, 7, 2.0 - C: 63, E: 33, O: 386
10, 8, -2.0 - C: 38, E: 22, O: 422
10, 8, -1.0 - C: 42, E: 26, O: 414
10, 8, 0.0 - C: 54, E: 26, O: 402
10, 8, 1.0 - C: 54, E: 27, O: 401
10, 8, 2.0 - C: 57, E: 32, O: 393
10, 9, -2.0 - C: 34, E: 21, O: 427
10, 9, -1.0 - C: 37, E: 24, O: 421
10, 9, 0.0 - C: 49, E: 24, O: 409
10, 9, 1.0 - C: 50, E: 25, O: 407
10, 9, 2.0 - C: 51, E: 30, O: 401
10, 10, -2.0 - C: 22, E: 20, O: 440
10, 10, -1.0 - C: 25, E: 21, O: 436
10, 10, 0.0 - C: 35, E: 22, O: 425
10, 10, 1.0 - C: 36, E: 23, O: 423
10, 10, 2.0 - C: 38, E: 26, O: 418
20, 5, -2.0 - C: 47, E: 19, O: 416
20, 5, -1.0 - C: 52, E: 24, O: 406
20, 5, 0.0 - C: 61, E: 27, O: 394
20, 5, 1.0 - C: 62, E: 26, O: 394
20, 5, 2.0 - C: 68, E: 29, O: 385
20, 6, -2.0 - C: 46, E: 19, O: 417
20, 6, -1.0 - C: 50, E: 24, O: 408
20, 6, 0.0 - C: 59, E: 27, O: 396
20, 6, 1.0 - C: 60, E: 26, O: 396
20, 6, 2.0 - C: 66, E: 29, O: 387
20, 7, -2.0 - C: 44, E: 18, O: 420
20, 7, -1.0 - C: 49, E: 23, O: 410
20, 7, 0.0 - C: 59, E: 25, O: 398
20, 7, 1.0 - C: 60, E: 24, O: 398
20, 7, 2.0 - C: 63, E: 29, O: 390
20, 8, -2.0 - C: 38, E: 16, O: 428
20, 8, -1.0 - C: 42, E: 20, O: 420
20, 8, 0.0 - C: 54, E: 22, O: 406
20, 8, 1.0 - C: 54, E: 23, O: 405
20, 8, 2.0 - C: 57, E: 28, O: 397
20, 9, -2.0 - C: 34, E: 15, O: 433
20, 9, -1.0 - C: 37, E: 18, O: 427
20, 9, 0.0 - C: 49, E: 20, O: 413
20, 9, 1.0 - C: 50, E: 21, O: 411
20, 9, 2.0 - C: 51, E: 26, O: 405
20, 10, -2.0 - C: 22, E: 15, O: 445
20, 10, -1.0 - C: 25, E: 16, O: 441
20, 10, 0.0 - C: 35, E: 18, O: 429
20, 10, 1.0 - C: 36, E: 19, O: 427
20, 10, 2.0 - C: 38, E: 22, O: 422
30, 5, -2.0 - C: 47, E: 18, O: 417
30, 5, -1.0 - C: 52, E: 22, O: 408
30, 5, 0.0 - C: 61, E: 22, O: 399
30, 5, 1.0 - C: 62, E: 20, O: 400
30, 5, 2.0 - C: 68, E: 22, O: 392
30, 6, -2.0 - C: 46, E: 18, O: 418
30, 6, -1.0 - C: 50, E: 22, O: 410
30, 6, 0.0 - C: 59, E: 22, O: 401
30, 6, 1.0 - C: 60, E: 20, O: 402
30, 6, 2.0 - C: 66, E: 22, O: 394
30, 7, -2.0 - C: 44, E: 17, O: 421
30, 7, -1.0 - C: 49, E: 21, O: 412
30, 7, 0.0 - C: 59, E: 20, O: 403
30, 7, 1.0 - C: 60, E: 18, O: 404
30, 7, 2.0 - C: 63, E: 22, O: 397
30, 8, -2.0 - C: 38, E: 15, O: 429
30, 8, -1.0 - C: 42, E: 19, O: 421
30, 8, 0.0 - C: 54, E: 18, O: 410
30, 8, 1.0 - C: 54, E: 17, O: 411
30, 8, 2.0 - C: 57, E: 21, O: 404
30, 9, -2.0 - C: 34, E: 14, O: 434
30, 9, -1.0 - C: 37, E: 17, O: 428
30, 9, 0.0 - C: 49, E: 16, O: 417
30, 9, 1.0 - C: 50, E: 15, O: 417
30, 9, 2.0 - C: 51, E: 19, O: 412
30, 10, -2.0 - C: 22, E: 14, O: 446
30, 10, -1.0 - C: 25, E: 15, O: 442
30, 10, 0.0 - C: 35, E: 15, O: 432
30, 10, 1.0 - C: 36, E: 14, O: 432
30, 10, 2.0 - C: 38, E: 16, O: 428
40, 5, -2.0 - C: 47, E: 17, O: 418
40, 5, -1.0 - C: 52, E: 19, O: 411
40, 5, 0.0 - C: 61, E: 21, O: 400
40, 5, 1.0 - C: 62, E: 20, O: 400
40, 5, 2.0 - C: 68, E: 20, O: 394
40, 6, -2.0 - C: 46, E: 17, O: 419
40, 6, -1.0 - C: 50, E: 19, O: 413
40, 6, 0.0 - C: 59, E: 21, O: 402
40, 6, 1.0 - C: 60, E: 20, O: 402
40, 6, 2.0 - C: 66, E: 20, O: 396
40, 7, -2.0 - C: 44, E: 16, O: 422
40, 7, -1.0 - C: 49, E: 19, O: 414
40, 7, 0.0 - C: 59, E: 19, O: 404
40, 7, 1.0 - C: 60, E: 18, O: 404
40, 7, 2.0 - C: 63, E: 20, O: 399
40, 8, -2.0 - C: 38, E: 14, O: 430
40, 8, -1.0 - C: 42, E: 18, O: 422
