number of genes: 16598
number of nodes: 534
Overlap: 483
10, 5, -2.0 - C: 67, E: 37, O: 379
10, 5, -1.0 - C: 76, E: 31, O: 376
10, 5, 0.0 - C: 76, E: 31, O: 376
10, 5, 1.0 - C: 86, E: 29, O: 368
10, 5, 2.0 - C: 89, E: 25, O: 369
10, 6, -2.0 - C: 65, E: 37, O: 381
10, 6, -1.0 - C: 74, E: 31, O: 378
10, 6, 0.0 - C: 74, E: 31, O: 378
10, 6, 1.0 - C: 84, E: 29, O: 370
10, 6, 2.0 - C: 88, E: 25, O: 370
10, 7, -2.0 - C: 64, E: 36, O: 383
10, 7, -1.0 - C: 72, E: 31, O: 380
10, 7, 0.0 - C: 73, E: 31, O: 379
10, 7, 1.0 - C: 83, E: 29, O: 371
10, 7, 2.0 - C: 87, E: 25, O: 371
10, 8, -2.0 - C: 60, E: 35, O: 388
10, 8, -1.0 - C: 69, E: 31, O: 383
10, 8, 0.0 - C: 71, E: 31, O: 381
10, 8, 1.0 - C: 81, E: 29, O: 373
10, 8, 2.0 - C: 85, E: 25, O: 373
10, 9, -2.0 - C: 57, E: 35, O: 391
10, 9, -1.0 - C: 67, E: 31, O: 385
10, 9, 0.0 - C: 71, E: 31, O: 381
10, 9, 1.0 - C: 81, E: 28, O: 374
10, 9, 2.0 - C: 83, E: 25, O: 375
10, 10, -2.0 - C: 52, E: 32, O: 399
10, 10, -1.0 - C: 62, E: 28, O: 393
10, 10, 0.0 - C: 66, E: 29, O: 388
10, 10, 1.0 - C: 74, E: 25, O: 384
10, 10, 2.0 - C: 75, E: 24, O: 384
20, 5, -2.0 - C: 67, E: 31, O: 385
20, 5, -1.0 - C: 76, E: 27, O: 380
20, 5, 0.0 - C: 76, E: 26, O: 381
20, 5, 1.0 - C: 86, E: 23, O: 374
20, 5, 2.0 - C: 89, E: 20, O: 374
20, 6, -2.0 - C: 65, E: 31, O: 387
20, 6, -1.0 - C: 74, E: 27, O: 382
20, 6, 0.0 - C: 74, E: 26, O: 383
20, 6, 1.0 - C: 84, E: 23, O: 376
20, 6, 2.0 - C: 88, E: 20, O: 375
20, 7, -2.0 - C: 64, E: 31, O: 388
20, 7, -1.0 - C: 72, E: 27, O: 384
20, 7, 0.0 - C: 73, E: 26, O: 384
20, 7, 1.0 - C: 83, E: 23, O: 377
20, 7, 2.0 - C: 87, E: 20, O: 376
