A1BG-AS1,chr19,58863335
A1CF,chr10,52645435
A2M,chr12,9268558
A2M-AS1,chr12,9220651
A2ML1,chr12,8975149
A3GALT2,chr1,33786699
A4GALT,chr22,43116876
A4GNT,chr3,137851229
AAAS,chr12,53715412
AACS,chr12,125549924
AADACL3,chr1,12776117
AADACL4,chr1,12704565
AADAT,chr4,171011372
AAED1,chr9,99417599
AAGAB,chr15,67547074
AAK1,chr2,69870977
AAMDC,chr11,77532207
AAMP,chr2,219134893
AAR2,chr20,34824338
AARD,chr8,117950463
AARS,chr16,70323412
AARS2,chr6,44281063
AASDHPPT,chr11,105948291
AASS,chr7,121784344
AATF,chr17,35306174
AATK,chr17,79139872
AATK-AS1,chr17,79139306
ABAT,chr16,8768443
ABCA1,chr9,107690527
ABCA11P,chr4,467998
ABCA12,chr2,215896810
ABCA13,chr7,48211056
ABCA2,chr9,139922740
ABCA3,chr16,2390747
ABCA4,chr1,94586705
ABCA5,chr17,67311774
ABCA6,chr17,67138015
ABCA7,chr19,1040101
ABCA9,chr17,67057136
ABCB1,chr7,87342639
ABCB11,chr2,169887833
ABCB4,chr7,87105019
ABCB6,chr2,220083712
ABCB7,chrX,74376175
ABCB8,chr7,150725508
ABCB9,chr12,123451056
ABCC1,chr16,16043433
ABCC10,chr6,43399488
ABCC11,chr16,48266182
ABCC12,chr16,48180681
ABCC13,chr21,15646119
ABCC2,chr10,101542462
ABCC3,chr17,48712217
ABCC4,chr13,95953687
ABCC5,chr3,183735727
ABCC6,chr16,16317328
ABCC8,chr11,17498392
ABCC9,chr12,22089628
ABCD3,chr1,94883932
ABCD4,chr14,74769767
ABCF2,chr7,150924460
ABCF3,chr3,183903862
ABCG1,chr21,43639266
ABCG2,chr4,89080011
ABCG4,chr11,119019749
ABCG5,chr2,44065958
ABCG8,chr2,44066102
ABHD1,chr2,27346656
ABHD10,chr3,111697722
ABHD11,chr7,73153190
ABHD12,chr20,25371618
ABHD12B,chr14,51338877
ABHD13,chr13,108870762
ABHD14A,chr3,52009041
ABHD14B,chr3,52008646
ABHD15,chr17,27894042
ABHD17A,chr19,1885518
ABHD17B,chr9,74526148
ABHD17C,chr15,80987651
ABHD2,chr15,89631380
ABHD3,chr18,19284766
ABHD4,chr14,23067146
ABHD5,chr3,43732374
ABHD6,chr3,58223258
ABHD8,chr19,17414282
ABI1,chr10,27150016
ABI2,chr2,204192961
ABI3,chr17,47287588
ABI3BP,chr3,100712334
ABL1,chr9,133589267
ABL2,chr1,179112224
ABLIM1,chr10,116286685
ABLIM2,chr4,8160559
ABLIM3,chr5,148521053
ABR,chr17,1083268
ABRACL,chr6,139349818
